"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"15112","Car, truck, or van","Regular high school diploma",30,82000,1100,"01902"
"15113","Car, truck, or van","1 or more years of college credit, no degree",30,48900,1100,"04700"
"15114","Car, truck, or van","Bachelor's degree",20,50000,1200,"00303"
"15115","Car, truck, or van","Bachelor's degree",5,50000,1200,"00303"
"15116","Car, truck, or van","Bachelor's degree",35,111100,3000,"00504"
"15117","Car, truck, or van","Doctorate degree",24,354000,4300,"03400"
"15118","Car, truck, or van","Master's degree",20,354000,4300,"03400"
"15119","Car, truck, or van","1 or more years of college credit, no degree",17,354000,4300,"03400"
"15120","Car, truck, or van","Associate's degree",65,42300,850,"04303"
"15121","Car, truck, or van","Master's degree",15,204000,800,"01300"
"15122","Car, truck, or van","Bachelor's degree",30,45000,2500,"00303"
"15123","Car, truck, or van","Grade 11",20,18000,350,"03603"
"15124","Car, truck, or van","Bachelor's degree",55,165000,2100,"00501"
"15125","Car, truck, or van","Master's degree",25,160000,3400,"03302"
"15126","Car, truck, or van","Professional degree beyond a bachelor's degree",10,258800,3800,"04301"
"15127","Walked","Bachelor's degree",10,110000,2900,"00506"
"15128","Car, truck, or van","Regular high school diploma",50,46000,440,"00301"
"15129","Bus or trolley bus","Master's degree",20,135030,1100,"01600"
"15130","Bus or trolley bus","Doctorate degree",20,135030,1100,"01600"
"15131","Car, truck, or van","Master's degree",30,413050,2000,"00501"
"15132","Car, truck, or van","Doctorate degree",40,413050,2000,"00501"
"15133","Car, truck, or van","Doctorate degree",15,413050,2000,"00501"
"15134","Railroad","Master's degree",90,413050,2000,"00501"
"15135","Car, truck, or van","1 or more years of college credit, no degree",10,413050,2000,"00501"
"15136","Car, truck, or van","1 or more years of college credit, no degree",20,116000,1400,"04903"
"15137","Car, truck, or van","Bachelor's degree",20,116000,1400,"04903"
"15138","Car, truck, or van","Master's degree",45,180000,1800,"01300"
"15139","Car, truck, or van","Regular high school diploma",20,180000,1800,"01300"
"15140","Car, truck, or van","1 or more years of college credit, no degree",60,190200,1800,"01300"
"15141","Car, truck, or van","Bachelor's degree",35,190200,1800,"01300"
"15142","Car, truck, or van","Bachelor's degree",50,2e+05,700,"03400"
"15143","Subway or elevated","Bachelor's degree",20,130010,2300,"03301"
"15144","Car, truck, or van","Regular high school diploma",25,58200,1600,"04903"
"15145","Car, truck, or van","Bachelor's degree",25,58200,1600,"04903"
"15146","Bus or trolley bus","Associate's degree",40,51000,700,"03304"
"15147","Car, truck, or van","Regular high school diploma",15,40000,900,"00303"
"15148","Car, truck, or van","Regular high school diploma",8,40000,900,"00303"
"15149","Car, truck, or van","Bachelor's degree",35,75000,1530,"01600"
"15150","Car, truck, or van","1 or more years of college credit, no degree",15,75000,1530,"01600"
"15151","Car, truck, or van","Regular high school diploma",25,65500,2200,"04800"
"15152","Car, truck, or van","Associate's degree",20,65500,2200,"04800"
"15153","Car, truck, or van","1 or more years of college credit, no degree",25,65500,2200,"04800"
"15154","Car, truck, or van","Bachelor's degree",30,10000,1700,"00507"
"15155","Car, truck, or van","Professional degree beyond a bachelor's degree",10,84000,1800,"01300"
"15156","Car, truck, or van","Bachelor's degree",20,84000,1800,"01300"
"15157","Car, truck, or van","Associate's degree",20,110000,900,"00400"
"15158","Car, truck, or van","Associate's degree",20,110000,900,"00400"
"15159","Car, truck, or van","GED or alternative credential",60,57800,2300,"00508"
"15160","Car, truck, or van","Regular high school diploma",60,57800,2300,"00508"
"15161","Car, truck, or van","Bachelor's degree",25,120000,1100,"00100"
"15162","Car, truck, or van","Bachelor's degree",28,120000,1100,"00100"
"15163","Car, truck, or van","Master's degree",40,150000,2600,"00506"
"15164","Subway or elevated","Professional degree beyond a bachelor's degree",25,143500,1600,"03303"
"15165","Subway or elevated","Professional degree beyond a bachelor's degree",40,143500,1600,"03303"
"15166","Subway or elevated","Master's degree",60,254000,4200,"03500"
"15167","Car, truck, or van","1 or more years of college credit, no degree",25,92400,1300,"04903"
"15168","Car, truck, or van","Regular high school diploma",10,92400,1300,"04903"
"15169","Car, truck, or van","Master's degree",80,175100,1900,"00502"
"15170","Car, truck, or van","Master's degree",30,175100,1900,"00502"
"15171","Railroad","Professional degree beyond a bachelor's degree",30,575000,4550,"03500"
"15172","Car, truck, or van","Bachelor's degree",45,575000,4550,"03500"
"15173","Car, truck, or van","Associate's degree",40,57000,1300,"01901"
"15174","Car, truck, or van","Regular high school diploma",30,57000,1300,"01901"
"15175","Car, truck, or van","Regular high school diploma",15,78000,1100,"00100"
"15176","Car, truck, or van","Some college, but less than 1 year",30,78000,1100,"00100"
"15177","Car, truck, or van","Master's degree",60,85000,3500,"00505"
"15178","Car, truck, or van","Master's degree",45,186690,2900,"02400"
"15179","Walked","Regular high school diploma",15,3700,940,"04200"
"15180","Car, truck, or van","Master's degree",15,968000,6200,"03400"
"15181","Car, truck, or van","Professional degree beyond a bachelor's degree",30,968000,6200,"03400"
"15182","Car, truck, or van","1 or more years of college credit, no degree",27,89800,2300,"03400"
"15183","Car, truck, or van","No schooling completed",30,89800,2300,"03400"
"15184","Car, truck, or van","Bachelor's degree",35,213010,1300,"00507"
"15185","Car, truck, or van","Bachelor's degree",35,213010,1300,"00507"
"15186","Subway or elevated","Master's degree",35,213010,1300,"00507"
"15187","Subway or elevated","Master's degree",60,213010,1300,"00507"
"15188","Car, truck, or van","Master's degree",40,185000,1500,"00701"
"15189","Car, truck, or van","Some college, but less than 1 year",10,185000,1500,"00701"
"15190","Car, truck, or van","Grade 10",25,61100,1100,"01900"
"15191","Bus or trolley bus","GED or alternative credential",60,61100,1100,"01900"
"15192","Car, truck, or van","Master's degree",60,70000,950,"00200"
"15193","Car, truck, or van","Master's degree",30,70000,950,"00200"
"15194","Subway or elevated","Master's degree",40,55000,1700,"00507"
"15195","Walked","Some college, but less than 1 year",5,106400,1100,"00301"
"15196","Car, truck, or van","Grade 9",20,106400,1100,"00301"
"15197","Car, truck, or van","Regular high school diploma",20,106400,1100,"00301"
"15198","Car, truck, or van","Bachelor's degree",30,33300,800,"03900"
"15199","Car, truck, or van","Regular high school diploma",15,21000,1200,"01900"
"15200","Car, truck, or van","Associate's degree",10,21000,1200,"01900"
"15201","Car, truck, or van","Master's degree",27,157130,2600,"00507"
"15202","Car, truck, or van","Associate's degree",7,55900,1100,"04302"
"15203","Bicycle","Professional degree beyond a bachelor's degree",15,258200,3300,"03400"
"15204","Bus or trolley bus","Master's degree",60,258200,3300,"03400"
"15205","Car, truck, or van","1 or more years of college credit, no degree",5,70370,930,"01600"
"15206","Car, truck, or van","Bachelor's degree",25,138000,1500,"00304"
"15207","Car, truck, or van","Associate's degree",55,92000,1900,"04902"
"15208","Car, truck, or van","Regular high school diploma",20,23700,60,"01000"
"15209","Car, truck, or van","Bachelor's degree",35,93300,1300,"01400"
"15210","Car, truck, or van","Master's degree",25,93300,1300,"01400"
"15211","Car, truck, or van","Regular high school diploma",90,27500,200,"00507"
"15212","Car, truck, or van","Regular high school diploma",45,77000,2700,"04700"
"15213","Car, truck, or van","Some college, but less than 1 year",3,77000,2700,"04700"
"15214","Car, truck, or van","Regular high school diploma",30,32000,1400,"04800"
"15215","Car, truck, or van","Regular high school diploma",15,99600,1060,"04303"
"15216","Car, truck, or van","Master's degree",65,99600,1060,"04303"
"15217","Bicycle","Doctorate degree",65,262500,2120,"03400"
"15218","Car, truck, or van","Professional degree beyond a bachelor's degree",15,262500,2120,"03400"
"15219","Walked","GED or alternative credential",20,30000,850,"00400"
"15220","Car, truck, or van","Bachelor's degree",30,136000,3000,"03500"
"15221","Car, truck, or van","Master's degree",20,136000,3000,"03500"
"15222","Car, truck, or van","Bachelor's degree",10,220000,2700,"01300"
"15223","Car, truck, or van","Master's degree",45,220000,2700,"01300"
"15224","Car, truck, or van","Doctorate degree",20,191000,3000,"01300"
"15225","Car, truck, or van","Master's degree",15,191000,3000,"01300"
"15226","Car, truck, or van","Bachelor's degree",15,66000,1100,"00302"
"15227","Bicycle","Bachelor's degree",20,220000,720,"00506"
"15228","Subway or elevated","Bachelor's degree",30,220000,720,"00506"
"15229","Bicycle","Bachelor's degree",25,220000,720,"00506"
"15230","Bicycle","1 or more years of college credit, no degree",20,220000,720,"00506"
"15231","Walked","Associate's degree",15,220000,720,"00506"
"15232","Bus or trolley bus","Regular high school diploma",30,84200,1000,"00507"
"15233","Car, truck, or van","1 or more years of college credit, no degree",30,81000,900,"00701"
"15234","Car, truck, or van","Some college, but less than 1 year",20,83600,1700,"00704"
"15235","Bus or trolley bus","Regular high school diploma",45,83600,1700,"00704"
"15236","Car, truck, or van","Some college, but less than 1 year",30,83600,1700,"00704"
"15237","Car, truck, or van","Grade 11",15,83600,1700,"00704"
"15238","Car, truck, or van","Bachelor's degree",45,141000,1900,"03601"
"15239","Car, truck, or van","Master's degree",50,141000,1900,"03601"
"15240","Taxicab","Master's degree",35,113020,1700,"00506"
"15241","Subway or elevated","Master's degree",40,113020,1700,"00506"
"15242","Car, truck, or van","1 or more years of college credit, no degree",50,92500,650,"00300"
"15243","Car, truck, or van","Bachelor's degree",60,92500,650,"00300"
"15244","Car, truck, or van","12th grade - no diploma",15,10800,860,"01902"
"15245","Walked","Bachelor's degree",15,64000,900,"00703"
"15246","Subway or elevated","Master's degree",60,190000,1700,"03603"
"15247","Car, truck, or van","Master's degree",45,76000,1800,"03601"
"15248","Car, truck, or van","Bachelor's degree",30,190000,3200,"01902"
"15249","Car, truck, or van","Bachelor's degree",30,190000,3200,"01902"
"15250","Car, truck, or van","1 or more years of college credit, no degree",100,41600,1000,"04302"
"15251","Car, truck, or van","Grade 11",2,41600,1000,"04302"
"15252","Car, truck, or van","1 or more years of college credit, no degree",10,179900,1800,"01902"
"15253","Car, truck, or van","Regular high school diploma",10,179900,1800,"01902"
"15254","Walked","12th grade - no diploma",20,179900,1800,"01902"
"15255","Car, truck, or van","1 or more years of college credit, no degree",5,179900,1800,"01902"
"15256","Subway or elevated","Bachelor's degree",45,137000,2100,"00507"
"15257","Car, truck, or van","Bachelor's degree",45,137000,2100,"00507"
"15258","Car, truck, or van","Bachelor's degree",15,119000,1700,"01901"
"15259","Car, truck, or van","Associate's degree",30,119000,1700,"01901"
"15260","Car, truck, or van","Associate's degree",25,93000,2200,"04902"
"15261","Car, truck, or van","Doctorate degree",30,60000,2000,"03301"
"15262","Car, truck, or van","Regular high school diploma",15,66100,570,"00100"
"15263","Car, truck, or van","Some college, but less than 1 year",15,66100,570,"00100"
"15264","Car, truck, or van","Master's degree",12,280400,1500,"00303"
"15265","Car, truck, or van","Regular high school diploma",25,64000,700,"00300"
"15266","Car, truck, or van","Bachelor's degree",5,64000,700,"00300"
"15267","Walked","Bachelor's degree",15,134400,2200,"04800"
"15268","Car, truck, or van","Associate's degree",10,134400,2200,"04800"
"15269","Walked","Bachelor's degree",15,60000,2100,"03302"
"15270","Walked","Regular high school diploma",8,12500,750,"00302"
"15271","Car, truck, or van","Master's degree",15,97000,1800,"03305"
"15272","Railroad","Bachelor's degree",60,363000,3700,"04902"
"15273","Railroad","Professional degree beyond a bachelor's degree",90,363000,3700,"04902"
"15274","Car, truck, or van","Doctorate degree",58,380000,3200,"03603"
"15275","Car, truck, or van","Doctorate degree",58,380000,3200,"03603"
"15276","Car, truck, or van","Regular high school diploma",20,110320,1600,"01400"
"15277","Car, truck, or van","Bachelor's degree",30,150000,1300,"03602"
"15278","Car, truck, or van","Master's degree",45,150000,1300,"03602"
"15279","Car, truck, or van","Regular high school diploma",70,204000,1400,"00400"
"15280","Car, truck, or van","Some college, but less than 1 year",15,204000,1400,"00400"
"15281","Subway or elevated","Associate's degree",65,204000,1400,"00400"
"15282","Car, truck, or van","Bachelor's degree",20,285800,3000,"03303"
"15283","Car, truck, or van","Bachelor's degree",20,285800,3000,"03303"
"15284","Car, truck, or van","Bachelor's degree",15,40000,1500,"01600"
"15285","Car, truck, or van","Master's degree",25,155000,2000,"03900"
"15286","Car, truck, or van","1 or more years of college credit, no degree",45,155000,2000,"03900"
"15287","Car, truck, or van","Bachelor's degree",40,109000,970,"03305"
"15288","Car, truck, or van","Regular high school diploma",25,109000,970,"03305"
"15289","Car, truck, or van","Regular high school diploma",20,3400,780,"01901"
"15290","Car, truck, or van","1 or more years of college credit, no degree",5,130500,2400,"04800"
"15291","Car, truck, or van","Regular high school diploma",7,63900,920,"00702"
"15292","Car, truck, or van","Regular high school diploma",20,182000,2200,"01902"
"15293","Car, truck, or van","Bachelor's degree",20,182000,2200,"01902"
"15294","Car, truck, or van","1 or more years of college credit, no degree",20,182000,2200,"01902"
"15295","Car, truck, or van","Bachelor's degree",10,120000,1360,"03602"
"15296","Car, truck, or van","Grade 5",10,60000,1800,"00304"
"15297","Car, truck, or van","Grade 9",10,60000,1800,"00304"
"15298","Car, truck, or van","Bachelor's degree",75,88240,1800,"04901"
"15299","Car, truck, or van","Associate's degree",60,110000,2600,"00501"
"15300","Car, truck, or van","Regular high school diploma",144,110000,2600,"00501"
"15301","Car, truck, or van","Grade 10",20,62000,950,"04902"
"15302","Car, truck, or van","Regular high school diploma",30,62000,950,"04902"
"15303","Car, truck, or van","Regular high school diploma",12,96000,1700,"04301"
"15304","Car, truck, or van","Associate's degree",20,22000,1300,"03304"
"15305","Car, truck, or van","Regular high school diploma",10,126600,2700,"04903"
"15306","Car, truck, or van","Regular high school diploma",20,30000,610,"01000"
"15307","Bicycle","Regular high school diploma",40,191200,1400,"00507"
"15308","Subway or elevated","Regular high school diploma",20,191200,1400,"00507"
"15309","Car, truck, or van","Grade 11",40,191200,1400,"00507"
"15310","Car, truck, or van","Regular high school diploma",30,110800,1500,"00304"
"15311","Car, truck, or van","1 or more years of college credit, no degree",45,110800,1500,"00304"
"15312","Car, truck, or van","Regular high school diploma",15,110800,1500,"00304"
"15313","Car, truck, or van","Regular high school diploma",45,70000,80,"01600"
"15314","Car, truck, or van","Regular high school diploma",30,96400,1500,"04000"
"15315","Car, truck, or van","1 or more years of college credit, no degree",30,96400,1500,"04000"
"15316","Car, truck, or van","1 or more years of college credit, no degree",30,96400,1500,"04000"
"15317","Car, truck, or van","Regular high school diploma",10,96400,1500,"04000"
"15318","Car, truck, or van","Regular high school diploma",10,50000,250,"04302"
"15319","Car, truck, or van","Bachelor's degree",15,153200,3200,"04901"
"15320","Car, truck, or van","Bachelor's degree",10,153200,3200,"04901"
"15321","Bus or trolley bus","Bachelor's degree",15,279300,1800,"00506"
"15322","Walked","Bachelor's degree",5,279300,1800,"00506"
"15323","Walked","1 or more years of college credit, no degree",15,279300,1800,"00506"
"15324","Car, truck, or van","Associate's degree",75,1e+05,780,"00304"
"15325","Car, truck, or van","Master's degree",45,120000,1900,"04902"
"15326","Car, truck, or van","Bachelor's degree",45,120000,1900,"04902"
"15327","Car, truck, or van","Regular high school diploma",15,129800,700,"00701"
"15328","Car, truck, or van","Regular high school diploma",15,129800,700,"00701"
"15329","Car, truck, or van","12th grade - no diploma",15,129800,700,"00701"
"15330","Car, truck, or van","1 or more years of college credit, no degree",35,129800,700,"00701"
"15331","Car, truck, or van","Bachelor's degree",50,163000,2400,"04902"
"15332","Car, truck, or van","Regular high school diploma",15,163000,2400,"04902"
"15333","Car, truck, or van","Bachelor's degree",10,1e+05,1400,"00300"
"15334","Car, truck, or van","Master's degree",90,473600,4150,"02400"
"15335","Other method","Bachelor's degree",144,473600,4150,"02400"
"15336","Railroad","1 or more years of college credit, no degree",45,63800,900,"03602"
"15337","Car, truck, or van","Grade 10",8,63800,900,"03602"
"15338","Car, truck, or van","Master's degree",35,361400,2100,"01400"
"15339","Car, truck, or van","Bachelor's degree",50,361400,2100,"01400"
"15340","Car, truck, or van","Master's degree",30,24000,830,"04800"
"15341","Car, truck, or van","Regular high school diploma",4,45000,750,"04302"
"15342","Car, truck, or van","Grade 9",20,26200,400,"01900"
"15343","Car, truck, or van","Regular high school diploma",20,30000,450,"04902"
"15344","Subway or elevated","Bachelor's degree",60,165000,1400,"00505"
"15345","Subway or elevated","Bachelor's degree",60,165000,1400,"00505"
"15346","Car, truck, or van","1 or more years of college credit, no degree",35,128000,1910,"04301"
"15347","Car, truck, or van","Bachelor's degree",25,128000,1910,"04301"
"15348","Car, truck, or van","Associate's degree",24,111400,1300,"04000"
"15349","Car, truck, or van","Regular high school diploma",10,111400,1300,"04000"
"15350","Car, truck, or van","Master's degree",15,175300,1400,"01400"
"15351","Car, truck, or van","Bachelor's degree",5,175300,1400,"01400"
"15352","Car, truck, or van","Bachelor's degree",10,230000,1900,"03303"
"15353","Car, truck, or van","Master's degree",30,230000,1900,"03303"
"15354","Car, truck, or van","Master's degree",10,174000,240,"00702"
"15355","Car, truck, or van","Regular high school diploma",10,174000,240,"00702"
"15356","Car, truck, or van","Associate's degree",45,174000,240,"00702"
"15357","Car, truck, or van","Bachelor's degree",5,664000,3400,"03500"
"15358","Car, truck, or van","Professional degree beyond a bachelor's degree",35,664000,3400,"03500"
"15359","Car, truck, or van","Bachelor's degree",31,352200,1200,"04303"
"15360","Car, truck, or van","Grade 6",75,352200,1200,"04303"
"15361","Car, truck, or van","1 or more years of college credit, no degree",25,352200,1200,"04303"
"15362","Car, truck, or van","No schooling completed",30,352200,1200,"04303"
"15363","Car, truck, or van","Master's degree",40,341000,2200,"00503"
"15364","Car, truck, or van","Associate's degree",40,341000,2200,"00503"
"15365","Car, truck, or van","Regular high school diploma",20,452200,4100,"00702"
"15366","Car, truck, or van","Regular high school diploma",20,452200,4100,"00702"
"15367","Car, truck, or van","Master's degree",45,160000,3800,"00303"
"15368","Car, truck, or van","Professional degree beyond a bachelor's degree",7,160000,3800,"00303"
"15369","Car, truck, or van","Master's degree",10,92500,1800,"00100"
"15370","Car, truck, or van","Some college, but less than 1 year",10,92500,1800,"00100"
"15371","Walked","Regular high school diploma",10,92500,1800,"00100"
"15372","Car, truck, or van","Professional degree beyond a bachelor's degree",5,317000,2500,"03500"
"15373","Railroad","Doctorate degree",35,317000,2500,"03500"
"15374","Railroad","Bachelor's degree",45,317000,2500,"03500"
"15375","Car, truck, or van","1 or more years of college credit, no degree",25,147700,1800,"00400"
"15376","Car, truck, or van","1 or more years of college credit, no degree",30,147700,1800,"00400"
"15377","Car, truck, or van","Bachelor's degree",50,77010,800,"02800"
"15378","Car, truck, or van","Master's degree",18,173000,3100,"01400"
"15379","Car, truck, or van","Bachelor's degree",60,173000,3100,"01400"
"15380","Car, truck, or van","Master's degree",60,195000,2200,"04901"
"15381","Railroad","Bachelor's degree",60,195000,2200,"04901"
"15382","Car, truck, or van","Bachelor's degree",3,70000,2500,"04700"
"15383","Bus or trolley bus","Master's degree",25,144000,900,"03303"
"15384","Car, truck, or van","Master's degree",45,50000,950,"03900"
"15385","Subway or elevated","Regular high school diploma",60,67900,1200,"03306"
"15386","Car, truck, or van","1 or more years of college credit, no degree",60,67900,1200,"03306"
"15387","Car, truck, or van","12th grade - no diploma",15,30000,270,"02800"
"15388","Car, truck, or van","1 or more years of college credit, no degree",15,48000,710,"00302"
"15389","Car, truck, or van","Grade 8",35,5000,1300,"03603"
"15390","Railroad","Associate's degree",90,104270,1100,"01300"
"15391","Car, truck, or van","Associate's degree",40,86800,2400,"01300"
"15392","Car, truck, or van","Some college, but less than 1 year",30,86800,2400,"01300"
"15393","Car, truck, or van","Master's degree",35,179000,2200,"00505"
"15394","Car, truck, or van","Master's degree",20,179000,2200,"00505"
"15395","Car, truck, or van","Regular high school diploma",20,79000,1300,"00701"
"15396","Car, truck, or van","1 or more years of college credit, no degree",10,165100,1900,"00703"
"15397","Car, truck, or van","Regular high school diploma",35,165100,1900,"00703"
"15398","Railroad","Bachelor's degree",90,137000,3000,"03601"
"15399","Car, truck, or van","Associate's degree",20,61500,1200,"00502"
"15400","Car, truck, or van","1 or more years of college credit, no degree",10,61500,1200,"00502"
"15401","Car, truck, or van","Bachelor's degree",25,126300,1400,"00703"
"15402","Car, truck, or van","Doctorate degree",55,125200,1200,"00508"
"15403","Car, truck, or van","Bachelor's degree",20,125200,1200,"00508"
"15404","Car, truck, or van","Regular high school diploma",15,195000,3300,"00506"
"15405","Subway or elevated","Bachelor's degree",40,195000,3300,"00506"
"15406","Bicycle","Some college, but less than 1 year",20,50000,750,"00508"
"15407","Bicycle","Some college, but less than 1 year",30,50000,750,"00508"
"15408","Car, truck, or van","Master's degree",12,147000,2600,"01600"
"15409","Car, truck, or van","GED or alternative credential",2,147000,2600,"01600"
"15410","Car, truck, or van","Master's degree",45,160000,2000,"04903"
"15411","Car, truck, or van","Bachelor's degree",40,240000,2000,"03601"
"15412","Car, truck, or van","Master's degree",40,240000,2000,"03601"
"15413","Car, truck, or van","Master's degree",15,164000,500,"04200"
"15414","Car, truck, or van","No schooling completed",45,164000,500,"04200"
"15415","Car, truck, or van","Bachelor's degree",10,240170,1300,"04800"
"15416","Car, truck, or van","Doctorate degree",15,240170,1300,"04800"
"15417","Car, truck, or van","Bachelor's degree",45,240170,1300,"04800"
"15418","Car, truck, or van","Master's degree",10,240170,1300,"04800"
"15419","Bicycle","Bachelor's degree",15,140000,2400,"03305"
"15420","Bicycle","Master's degree",15,140000,2400,"03305"
"15421","Car, truck, or van","Grade 6",40,140000,2400,"03305"
"15422","Car, truck, or van","Professional degree beyond a bachelor's degree",14,188000,2200,"00302"
"15423","Car, truck, or van","1 or more years of college credit, no degree",35,188000,2200,"00302"
"15424","Car, truck, or van","Some college, but less than 1 year",15,96000,850,"00300"
"15425","Car, truck, or van","Regular high school diploma",5,96000,850,"00300"
"15426","Car, truck, or van","Doctorate degree",20,79400,1700,"00200"
"15427","Car, truck, or van","Doctorate degree",20,79400,1700,"00200"
"15428","Bus or trolley bus","Master's degree",90,69800,2200,"00701"
"15429","Car, truck, or van","Bachelor's degree",30,63100,1100,"00303"
"15430","Car, truck, or van","Associate's degree",60,63100,1100,"00303"
"15431","Car, truck, or van","Bachelor's degree",15,120900,1500,"02800"
"15432","Car, truck, or van","Bachelor's degree",25,120900,1500,"02800"
"15433","Car, truck, or van","Bachelor's degree",35,367200,3600,"00702"
"15434","Car, truck, or van","Master's degree",45,367200,3600,"00702"
"15435","Car, truck, or van","Master's degree",65,10000,1600,"01600"
"15436","Walked","1 or more years of college credit, no degree",10,29180,840,"00100"
"15437","Car, truck, or van","Bachelor's degree",30,83000,1300,"01902"
"15438","Car, truck, or van","Professional degree beyond a bachelor's degree",50,107000,1000,"04901"
"15439","Car, truck, or van","Some college, but less than 1 year",20,107000,1000,"04901"
"15440","Walked","Doctorate degree",30,118000,2600,"00506"
"15441","Car, truck, or van","Some college, but less than 1 year",15,27310,1000,"04200"
"15442","Subway or elevated","Bachelor's degree",35,146000,2000,"03301"
"15443","Subway or elevated","Bachelor's degree",15,146000,2000,"03301"
"15444","Car, truck, or van","Doctorate degree",45,110000,2100,"03601"
"15445","Car, truck, or van","Bachelor's degree",75,110000,2100,"03601"
"15446","Streetcar or trolley car (carro publico in Puerto Rico)","Bachelor's degree",50,85660,1400,"03400"
"15447","Car, truck, or van","Bachelor's degree",45,111800,880,"00504"
"15448","Car, truck, or van","Bachelor's degree",80,120000,2300,"00503"
"15449","Car, truck, or van","Master's degree",27,120000,2300,"00503"
"15450","Car, truck, or van","Associate's degree",10,173400,1400,"00703"
"15451","Car, truck, or van","1 or more years of college credit, no degree",60,173400,1400,"00703"
"15452","Car, truck, or van","Bachelor's degree",30,30000,2000,"00503"
"15453","Car, truck, or van","Master's degree",5,152000,1500,"00701"
"15454","Car, truck, or van","Associate's degree",10,152000,1500,"00701"
"15455","Bus or trolley bus","Regular high school diploma",5,9050,750,"04301"
"15456","Railroad","Master's degree",60,125000,2200,"01400"
"15457","Car, truck, or van","Professional degree beyond a bachelor's degree",10,125000,2200,"01400"
"15458","Car, truck, or van","1 or more years of college credit, no degree",12,33000,500,"00701"
"15459","Car, truck, or van","Associate's degree",45,33000,500,"00701"
"15460","Car, truck, or van","Associate's degree",10,43000,620,"00100"
"15461","Car, truck, or van","Regular high school diploma",10,25400,870,"04800"
"15462","Car, truck, or van","Bachelor's degree",25,34200,520,"04303"
"15463","Car, truck, or van","Master's degree",45,50000,990,"00301"
"15464","Subway or elevated","Professional degree beyond a bachelor's degree",55,163000,2600,"03603"
"15465","Subway or elevated","Bachelor's degree",35,163000,2600,"03603"
"15466","Subway or elevated","Master's degree",60,52000,1800,"03302"
"15467","Railroad","Master's degree",60,243400,1900,"03500"
"15468","Car, truck, or van","Some college, but less than 1 year",10,132000,1400,"01600"
"15469","Car, truck, or van","Regular high school diploma",10,132000,1400,"01600"
"15470","Car, truck, or van","Some college, but less than 1 year",30,132000,1400,"01600"
"15471","Car, truck, or van","1 or more years of college credit, no degree",15,260000,1700,"04902"
"15472","Car, truck, or van","Bachelor's degree",45,260000,1700,"04902"
"15473","Car, truck, or van","Regular high school diploma",12,100500,1500,"01300"
"15474","Car, truck, or van","Regular high school diploma",45,100500,1500,"01300"
"15475","Car, truck, or van","Some college, but less than 1 year",10,130000,1800,"00704"
"15476","Car, truck, or van","Associate's degree",10,130000,1800,"00704"
"15477","Car, truck, or van","Professional degree beyond a bachelor's degree",15,215200,500,"03400"
"15478","Car, truck, or van","Bachelor's degree",7,215200,500,"03400"
"15479","Car, truck, or van","Associate's degree",40,14010,970,"04200"
"15480","Car, truck, or van","1 or more years of college credit, no degree",10,45300,980,"04000"
"15481","Car, truck, or van","Doctorate degree",2,689000,2400,"04301"
"15482","Car, truck, or van","Professional degree beyond a bachelor's degree",2,689000,2400,"04301"
"15483","Car, truck, or van","Master's degree",20,126000,2200,"00504"
"15484","Car, truck, or van","Master's degree",40,126000,2200,"00504"
"15485","Car, truck, or van","GED or alternative credential",6,2400,1400,"04200"
"15486","Subway or elevated","Bachelor's degree",45,165000,2500,"00507"
"15487","Subway or elevated","Bachelor's degree",45,165000,2500,"00507"
"15488","Car, truck, or van","Bachelor's degree",30,165000,2500,"00507"
"15489","Car, truck, or van","Professional degree beyond a bachelor's degree",30,441500,3400,"01400"
"15490","Car, truck, or van","Master's degree",35,441500,3400,"01400"
"15491","Car, truck, or van","1 or more years of college credit, no degree",45,100500,2000,"04303"
"15492","Car, truck, or van","Grade 11",40,100500,2000,"04303"
"15493","Car, truck, or van","Bachelor's degree",30,90000,1400,"02400"
"15494","Car, truck, or van","Regular high school diploma",17,90000,1400,"02400"
"15495","Car, truck, or van","Professional degree beyond a bachelor's degree",35,130000,1800,"01902"
"15496","Car, truck, or van","Bachelor's degree",40,384000,2000,"03305"
"15497","Car, truck, or van","Bachelor's degree",15,214600,2800,"00505"
"15498","Car, truck, or van","Master's degree",35,214600,2800,"00505"
"15499","Car, truck, or van","Associate's degree",17,98300,1400,"01901"
"15500","Car, truck, or van","1 or more years of college credit, no degree",6,98300,1400,"01901"
"15501","Bus or trolley bus","Bachelor's degree",45,185000,1800,"03303"
"15502","Taxicab","1 or more years of college credit, no degree",30,185000,1800,"03303"
"15503","Car, truck, or van","Bachelor's degree",45,125000,2000,"00505"
"15504","Bicycle","Professional degree beyond a bachelor's degree",30,125000,2000,"00505"
"15505","Car, truck, or van","Master's degree",50,104400,1800,"04902"
"15506","Car, truck, or van","Regular high school diploma",25,658500,1900,"04303"
"15507","Car, truck, or van","Bachelor's degree",45,658500,1900,"04303"
"15508","Taxicab","1 or more years of college credit, no degree",5,75000,1200,"00301"
"15509","Car, truck, or van","1 or more years of college credit, no degree",30,75000,1200,"00301"
"15510","Car, truck, or van","Associate's degree",20,150000,2200,"02800"
"15511","Car, truck, or van","Regular high school diploma",25,150000,2200,"02800"
"15512","Car, truck, or van","Master's degree",22,200200,3200,"00200"
"15513","Car, truck, or van","Bachelor's degree",5,200200,3200,"00200"
"15514","Car, truck, or van","Regular high school diploma",20,66200,850,"04500"
